"emisor","receptor"
10,11
10,12
10,30
10,31
11,12
11,12
11,36
1,17
1,2
13,14
1,32
14,77
1,50
15,16
15,90
15,90
17,18
17,32
17,32
17,83
18,19
18,29
18,88
20,104
20,21
20,21
21,24
22,23
22,42
22,44
22,74
25,26
25,59
27,28
2,80
28,81
2,93
30,31
3,101
32,33
3,4
34,35
34,57
34,58
3,50
3,57
3,58
37,38
38,47
39,40
4,105
4,105
4,14
41,71
42,43
42,44
42,44
43,44
45,46
45,82
47,56
4,78
4,79
48,103
48,49
49,54
49,67
50,51
50,57
50,57
50,63
51,91
52,53
52,59
52,66
53,102
54,55
54,67
54,67
54,82
5,6
56,57
56,58
56,70
57,58
57,58
57,58
57,58
57,70
58,70
58,79
58,87
58,98
60,61
60,62
61,62
64,65
64,65
6,7
67,82
68,69
7,18
72,73
75,76
76,85
78,79
78,79
7,89
7,92
83,84
8,41
85,106
85,86
87,96
87,97
8,9
89,92
9,16
94,95
94,95
96,97
99,100
