"onset","terminus","vertex.id","onset.censored","terminus.censored","duration"
1280,1311,1,FALSE,FALSE,31
1288.5,1311,2,FALSE,FALSE,22.5
1257.5,1290,3,FALSE,FALSE,32.5
1280,1305,4,FALSE,FALSE,25
1272.5,1282.5,5,FALSE,FALSE,10
1272.5,1305,6,FALSE,FALSE,32.5
1292.5,1305,7,FALSE,FALSE,12.5
1275,1285,8,FALSE,FALSE,10
1275,1295,9,FALSE,FALSE,20
1295,1325,10,FALSE,FALSE,30
1295,1316,11,FALSE,FALSE,21
1295,1315,12,FALSE,FALSE,20
1307,1317,13,FALSE,FALSE,10
1295,1317.5,14,FALSE,FALSE,22.5
1295,1312.5,15,FALSE,FALSE,17.5
1285,1312.5,16,FALSE,FALSE,27.5
1272,1305,17,FALSE,FALSE,33
1287.5,1302.5,18,FALSE,FALSE,15
1290,1300,19,FALSE,FALSE,10
1288.5,1302.5,20,FALSE,FALSE,14
1290,1302.5,21,FALSE,FALSE,12.5
1264,1280,22,FALSE,FALSE,16
1264,1274,23,FALSE,FALSE,10
1290,1300,24,FALSE,FALSE,10
1285,1325,25,FALSE,FALSE,40
1285,1295,26,FALSE,FALSE,10
1286,1296,27,FALSE,FALSE,10
1286,1322.5,28,FALSE,FALSE,36.5
1290,1300,29,FALSE,FALSE,10
1315,1325,30,FALSE,FALSE,10
1315,1325,31,FALSE,FALSE,10
1286,1305,32,FALSE,FALSE,19
1286,1296,33,FALSE,FALSE,10
1270,1292.5,34,FALSE,FALSE,22.5
1270,1280,35,FALSE,FALSE,10
1306,1316,36,FALSE,FALSE,10
1272.5,1282.5,37,FALSE,FALSE,10
1272.5,1313,38,FALSE,FALSE,40.5
1315,1325,39,FALSE,FALSE,10
1315,1325,40,FALSE,FALSE,10
1275,1300,41,FALSE,FALSE,25
1265,1277.5,42,FALSE,FALSE,12.5
1267.5,1277.5,43,FALSE,FALSE,10
1265,1277.5,44,FALSE,FALSE,12.5
1295,1317.5,45,FALSE,FALSE,22.5
1295,1305,46,FALSE,FALSE,10
1303,1322,47,FALSE,FALSE,19
1284,1312,48,FALSE,FALSE,28
1284,1307.5,49,FALSE,FALSE,23.5
1257.5,1290,50,FALSE,FALSE,32.5
1270,1283.5,51,FALSE,FALSE,13.5
1274.5,1320,52,FALSE,FALSE,45.5
1274.5,1290,53,FALSE,FALSE,15.5
1297.5,1312.5,54,FALSE,FALSE,15
1302.5,1312.5,55,FALSE,FALSE,10
1293.5,1322,56,FALSE,FALSE,28.5
1267.5,1303.5,57,FALSE,FALSE,36
1267.5,1303.5,58,FALSE,FALSE,36
1310,1325,59,FALSE,FALSE,15
1260,1270,60,FALSE,FALSE,10
1260,1270,61,FALSE,FALSE,10
1260,1270,62,FALSE,FALSE,10
1277,1287,63,FALSE,FALSE,10
1308.5,1320,64,FALSE,FALSE,11.5
1308.5,1320,65,FALSE,FALSE,11.5
1305,1315,66,FALSE,FALSE,10
1297.5,1308,67,FALSE,FALSE,10.5
1265,1275,68,FALSE,FALSE,10
1265,1275,69,FALSE,FALSE,10
1293.5,1303.5,70,FALSE,FALSE,10
1290,1300,71,FALSE,FALSE,10
1282.5,1292.5,72,FALSE,FALSE,10
1282.5,1292.5,73,FALSE,FALSE,10
1270,1280,74,FALSE,FALSE,10
1275,1285,75,FALSE,FALSE,10
1272,1285,76,FALSE,FALSE,13
1307.5,1317.5,77,FALSE,FALSE,10
1285,1301,78,FALSE,FALSE,16
1285,1301,79,FALSE,FALSE,16
1288.5,1298.5,80,FALSE,FALSE,10
1312.5,1322.5,81,FALSE,FALSE,10
1298,1317.5,82,FALSE,FALSE,19.5
1263,1282,83,FALSE,FALSE,19
1263,1273,84,FALSE,FALSE,10
1267,1290,85,FALSE,FALSE,23
1280,1290,86,FALSE,FALSE,10
1260,1285,87,FALSE,FALSE,25
1287.5,1297.5,88,FALSE,FALSE,10
1295,1305,89,FALSE,FALSE,10
1295,1306,90,FALSE,FALSE,11
1273.5,1283.5,91,FALSE,FALSE,10
1295,1305,92,FALSE,FALSE,10
1290,1300,93,FALSE,FALSE,10
1270,1290,94,FALSE,FALSE,20
1270,1290,95,FALSE,FALSE,20
1260,1270,96,FALSE,FALSE,10
1260,1270,97,FALSE,FALSE,10
1270,1280,98,FALSE,FALSE,10
1314,1324,99,FALSE,FALSE,10
1314,1324,100,FALSE,FALSE,10
1275,1285,101,FALSE,FALSE,10
1280,1290,102,FALSE,FALSE,10
1302,1312,103,FALSE,FALSE,10
1288.5,1298.5,104,FALSE,FALSE,10
1280,1300,105,FALSE,FALSE,20
1267,1277,106,FALSE,FALSE,10
